
取得当前所在的路径E:\MyWork\xunxianAutoFight	2014-10-18 14:46:36  
创建截图日志记录文件夹-成功	2014-10-18 14:46:36  
创建图标完毕	2014-10-18 14:46:36  
获取本机机器码：738c1b6d08619df3e495ea7a88ed14a4	2014-10-18 14:46:36  
开启完毕！	2014-10-18 14:46:37  
加载自动扫货杂货类数据完毕	2014-10-18 14:46:37  
八卦灵石载入：871条数据	2014-10-18 14:46:37  
加载自动扫货八卦灵石类数据完毕	2014-10-18 14:46:37  
宠物壳子载入：53条数据	2014-10-18 14:46:37  
加载自动扫货宠物壳子类数据完毕	2014-10-18 14:46:37  
风物志载入：468条数据	2014-10-18 14:46:37  
加载自动扫货风物志类数据完毕	2014-10-18 14:46:37  
传奇配方载入：40条数据	2014-10-18 14:46:37  
加载自动扫货传奇配方类数据完毕	2014-10-18 14:46:37  
加载自动扫货其他分类数据完毕	2014-10-18 14:46:37  
自动扫货UI界面数据加载完毕	2014-10-18 14:46:37  
加载系统配置数据完毕	2014-10-18 14:46:37  
创建寻仙鼠标光标完毕	2014-10-18 14:46:38  
已设置自动答题	2014-10-18 14:46:41  
进行窗口绑定	2014-10-18 14:47:38  
窗口操作:成功	2014-10-18 14:47:40  
改变窗口大小:成功	2014-10-18 14:47:40  
匹配我的血量开始的颜色:失败，自动调整至100级模式进行匹配	2014-10-18 14:47:40  
匹配我的血量开始的颜色:成功	2014-10-18 14:47:40  
自动扫货杂货类数据保存完毕	2014-10-18 14:47:40  
加载自动扫货杂货类数据完毕	2014-10-18 14:47:40  
自动扫货八卦灵石类数据保存完毕	2014-10-18 14:47:40  
八卦灵石载入：871条数据	2014-10-18 14:47:40  
加载自动扫货八卦灵石类数据完毕	2014-10-18 14:47:40  
自动扫货宠物壳子类数据保存完毕	2014-10-18 14:47:40  
宠物壳子载入：53条数据	2014-10-18 14:47:40  
加载自动扫货宠物壳子类数据完毕	2014-10-18 14:47:40  
自动扫货风物志类数据保存完毕	2014-10-18 14:47:40  
风物志载入：468条数据	2014-10-18 14:47:40  
加载自动扫货风物志类数据完毕	2014-10-18 14:47:40  
自动扫货传奇配方类数据保存完毕	2014-10-18 14:47:40  
传奇配方载入：40条数据	2014-10-18 14:47:40  
加载自动扫货传奇配方类数据完毕	2014-10-18 14:47:40  
自动扫货其他分类数据保存完毕	2014-10-18 14:47:40  
加载自动扫货其他分类数据完毕	2014-10-18 14:47:40  
自动扫货杂货类数据保存完毕	2014-10-18 14:47:42  
自动扫货八卦灵石类数据保存完毕	2014-10-18 14:47:42  
自动扫货宠物壳子类数据保存完毕	2014-10-18 14:47:42  
自动扫货风物志类数据保存完毕	2014-10-18 14:47:42  
自动扫货传奇配方类数据保存完毕	2014-10-18 14:47:42  
自动扫货其他分类数据保存完毕	2014-10-18 14:47:42  
查看周围摊位窗口移动完毕	2014-10-18 14:47:42  
查看摊位摆摊信息窗口移动完毕	2014-10-18 14:47:50  
摊位坐标初始化完毕！初始化成功	2014-10-18 14:47:50  
扫货主线程启动	2014-10-18 14:47:51  
日志线程启动	2014-10-18 14:47:51  
系统线程启动	2014-10-18 14:47:51  
初始化数据完毕，开始执行	2014-10-18 14:47:51  
自动扫货杂货类数据保存完毕	2014-10-18 14:50:09  
自动扫货八卦灵石类数据保存完毕	2014-10-18 14:50:09  
自动扫货宠物壳子类数据保存完毕	2014-10-18 14:50:09  
自动扫货风物志类数据保存完毕	2014-10-18 14:50:09  
自动扫货传奇配方类数据保存完毕	2014-10-18 14:50:09  
自动扫货其他分类数据保存完毕	2014-10-18 14:50:09  
购买[残缺艮卦元神之石耐久3/3]成功，以[55金1铜]每个的价格买入[1]个	2014-10-18 15:18:05  
金刚正在优化中，预计1分钟时间，请稍后……	2014-10-18 15:31:56  
解除对窗口的绑定，进行资源释放	2014-10-18 15:31:58  
COM释放完毕,资源释放完毕！	2014-10-18 15:31:58  
进行窗口绑定	2014-10-18 15:32:32  
窗口操作:成功	2014-10-18 15:32:34  
改变窗口大小:成功	2014-10-18 15:32:34  
匹配我的血量开始的颜色:失败，自动调整至100级模式进行匹配	2014-10-18 15:32:34  
匹配我的血量开始的颜色:成功	2014-10-18 15:32:34  
自动扫货杂货类数据保存完毕	2014-10-18 15:32:34  
加载自动扫货杂货类数据完毕	2014-10-18 15:32:34  
自动扫货八卦灵石类数据保存完毕	2014-10-18 15:32:34  
八卦灵石载入：871条数据	2014-10-18 15:32:34  
加载自动扫货八卦灵石类数据完毕	2014-10-18 15:32:34  
自动扫货宠物壳子类数据保存完毕	2014-10-18 15:32:34  
宠物壳子载入：53条数据	2014-10-18 15:32:34  
加载自动扫货宠物壳子类数据完毕	2014-10-18 15:32:34  
自动扫货风物志类数据保存完毕	2014-10-18 15:32:34  
风物志载入：468条数据	2014-10-18 15:32:34  
加载自动扫货风物志类数据完毕	2014-10-18 15:32:34  
自动扫货传奇配方类数据保存完毕	2014-10-18 15:32:34  
传奇配方载入：40条数据	2014-10-18 15:32:34  
加载自动扫货传奇配方类数据完毕	2014-10-18 15:32:34  
自动扫货其他分类数据保存完毕	2014-10-18 15:32:34  
加载自动扫货其他分类数据完毕	2014-10-18 15:32:34  
查看周围摊位窗口移动完毕	2014-10-18 15:32:37  
查看摊位摆摊信息窗口移动完毕	2014-10-18 15:32:44  
摊位坐标初始化完毕！初始化成功	2014-10-18 15:32:44  
扫货主线程启动	2014-10-18 15:32:45  
日志线程启动	2014-10-18 15:32:45  
系统线程启动	2014-10-18 15:32:45  
初始化数据完毕，开始执行	2014-10-18 15:32:45  
购买[残缺艮卦元神之石耐久3/3]成功，以[50金1铜]每个的价格买入[1]个	2014-10-18 15:36:36  
